*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=b-car_rev1
*Date=14:18:55
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
138;;;15.2894;-9.36467;0;Bottom;Via46
139;;;57.5564;-14.5035;0;Bottom;Copper Fill98
140;;;70.4277;-33.3707;-90;Bottom;TXT1
141;;;63.5495;-19.5245;0;Bottom;Via6
142;;;7.6073;-39.0526;0;Bottom;Copper Fill101
143;68;THT;68.6294;-42.3847;90;Bottom;R2
144;;;10.2094;-44.9247;0;Bottom;Via34
145;;;21.5138;-41.11;0;Bottom;Copper Fill44
146;;;59.2582;-14.5035;0;Bottom;Copper Fill99
147;;;58.4695;-9.36452;0;Bottom;Via5
148;;;21.5138;-36.03;0;Bottom;Copper Fill47
149;;;56.2495;-3.80551;0;Bottom;TXT2
150;;;15.2895;-44.9247;0;Bottom;Via33
151;;;25.4495;-9.36452;0;Bottom;Via16
152;;;20.3695;-16.9845;0;Bottom;Via18
153;;;58.4695;-19.5245;0;Bottom;Via1
154;;;63.5495;-14.4445;0;Bottom;Via8
155;47k;THT;12.7494;-14.4447;0;Bottom;R1
156;;;24.5364;-11.9635;0;Bottom;Copper Fill28
157;47k;THT;71.1694;-14.4447;0;Bottom;R1
158;;;64.8208;-15.71;0;Bottom;Copper Fill6
159;;;53.3908;-8.1154;0;Bottom;Copper Fill85
160;;;77.6478;-23.33;0;Bottom;Copper Fill65
161;;;72.4281;-40.4496;0;Bottom;Copper Fill86
162;;;21.2598;-26.2256;0;Bottom;Copper Fill59
163;;;38.0873;-29.0704;0;Bottom;Copper Fill19
164;;;26.2382;-9.4235;0;Bottom;Copper Fill25
165;;;15.1105;-42.4602;90;Bottom;TXT1
166;;;63.5495;-16.9845;0;Bottom;Via7
167;;;2.58936;-27.1447;0;Bottom;Via37
168;;;57.5564;-11.9635;0;Bottom;Copper Fill22
169;68;THT;73.7094;-24.6047;0;Bottom;R2
170;;;14.0208;-42.507;0;Bottom;Copper Fill43
171;;;37.084;-29.7435;0;Bottom;Copper Fill20
172;;;7.6073;-44.1326;0;Bottom;Copper Fill104
173;;;40.4876;-25.7938;0;Bottom;Copper Fill64
174;;;11.7094;-36.03;0;Bottom;Copper Fill41
175;;;64.8208;-10.63;0;Bottom;Copper Fill83
176;;;19.1008;-10.63;0;Bottom;Copper Fill82
177;;;45.9232;-27.14;0;Bottom;Copper Fill58
178;;;22.9366;-19.3568;0;Bottom;TXT1
179;;;22.9352;-9.25324;0;Bottom;TXT1
180;;;20.3803;-22.0781;0;Bottom;Via23
181;;;37.9984;-18.1484;0;Bottom;Copper Fill68
182;;;70.231;-36.7412;0;Bottom;Copper Fill48
183;;;50.9026;-7.24999;0;Bottom;TXT1
184;;;4.91742;-29.4571;0;Bottom;TXT1
185;;;11.4808;-25.997;0;Bottom;Copper Fill62
186;;;61.0375;-11.8503;0;Bottom;TXT1
187;;;78.5114;-6.1596;0;Bottom;Copper Fill84
188;;;21.3106;-45.8344;0;Bottom;Copper Fill38
189;;;50.8494;-9.36466;0;Bottom;Via42
190;;;64.8208;-13.17;0;Bottom;Copper Fill8
191;;;23.0713;-14.27;0;Bottom;TXT1
192;;;30.5249;-16.2844;0;Bottom;TXT1
193;;;6.604;-34.4806;0;Bottom;Copper Fill49
194;;;73.4568;-39.7511;0;Bottom;Copper Fill13
195;;;37.9984;-10.63;0;Bottom;Copper Fill79
196;;;21.5138;-28.41;0;Bottom;Copper Fill56
197;;;20.3805;-14.5221;0;Bottom;Via19
198;;;71.1694;-4.28467;0;Bottom;Hole2
199;;;57.5564;-19.5835;0;Bottom;Copper Fill109
